,Spital/Institution,Kanton,Kanton LV,Adr,Ort,Basispaket,Dermatologie,Hals-Nasen-Ohren,Neurochirurgie,Neurologie,Ophthalmologie,Endokrinologie,Gastroenterologie,Viszeralchirurgie,Hämatologie,Gefässe,Herz,Nephrologie,Urologie,Pneumologie,Thoraxchirurgie,Transplantationen,Bewegungsapparat chirurgisch,Rheumatologie,Gynäkologie,Geburtshilfe,Neugeborene,(Radio-) Onkologie,Unfallchirurgie,Übrige (Querschnittsbereiche),BP,BPE,DER1,DER1.1,DER1.2,DER2,HNO1,HNO1.1,HNO1.1.1,HNO1.2,HNO1.2.1,HNO1.3,HNO1.3.1,HNO1.3.2,HNO2,KIE1,NCH1,NCH1.1,NCH1.1.1,NCH1.1.1.1,NCH1.1.2,NCH1.1.3,NCH2,NCH2.1,NCH3,NEU1,NEU2,NEU2.1,NEU3,NEU3.1,NEU4,NEU4.1,NEU4.2,AUG1,AUG1.1,AUG1.2,AUG1.3,AUG1.4,AUG1.5,END1,GAE1,GAE1.1,VIS1,VIS1.1,VIS1.2,VIS1.3,VIS1.4,VIS1.4.1,VIS1.5,HAE1,HAE1.1,HAE2,HAE3,HAE4,HAE5,GEF1,ANG1,GEF2,ANG2,GEFA,GEF3,ANG3,GEF4,ANG4,RAD1,RAD2,HER1,HER1.1,HER1.1.1,HER1.1.2,HER1.1.3,HER1.1.4,HER1.1.5,HER1.1.6,KAR1,KAR1.1,KAR1.1.1,KAR1.2,KAR1.3,KAR2,KAR3,KAR3.1,KAR3.1.1,NEP1,URO1,URO1.1,URO1.1.1,URO1.1.2,URO1.1.3,URO1.1.4,URO1.1.5,URO1.1.6,URO1.1.7,URO1.1.8,PNE1,PNE1.1,PNE1.2,PNE1.3,PNE2,THO1,THO1.1,THO1.2,TPL1,TPL2,TPL3,TPL4,TPL5,TPL6,TPL7,BEW1,BEW2,BEW3,BEW4,BEW5,BEW6,BEW7,BEW7.1,BEW7.1.1,BEW7.2,BEW7.2.1,BEW7.3,BEW8,BEW8.1,BEW8.1.1,BEW9,BEW10,BEW11,RHE1,RHE2,GYN1,GYN1.1,GYN1.2,GYN1.3,GYN1.4,GYNT,GYN2,PLC1,GEBH,GEBS,GEB1,GEB1.1,GEB1.1.1,NEOG,NEO1,NEO1.1,NEO1.1.1,NEO1.1.1.1,ONK1,RAO1,NUK1,UNF1,UNF1.1,UNF2,ISO,BES,KINM,KINC,KINB,KAA,KAB,KAC,KAD,GER,AVA,PAL,Erfüllte Leistungsangebote,Beschränkte/Befristete Leistungsangebote
311,Hôpital Riviera-Chablais Vaud-Valais Vevey,VD,VS,Boulevard Paderewski 3,1800 Vevey,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"['Basispaket', 'BPE']"
312,SMN - Clinique de Valère,VS,VS,Rue de Pré­Fleuri 16,1950 Sion,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,2.0,2.0,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'VIS1', 'VIS1.4', 'URO1', 'URO1.1', 'URO1.1.1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'GYN1', 'GYN2']","['Basispaket', 'Hals-Nasen-Ohren', 'Viszeralchirurgie', 'Urologie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'BPE']"
313,Clinique CIC Valais SA,VS,VS,Route du Léman 29,1907 Saxon,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['NCH2', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8']","['Basispaket', 'Neurochirurgie', 'Bewegungsapparat chirurgisch', 'BPE']"
314,Luzerner Höhenklinik Montana AG,VS,VS,Route de l'Astoria 2,3963 Crans-Montana,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['PNE2'],['Pneumologie']
316,Zuger Kantonsspital AG,ZG,ZG,Landhausstrasse 11,6340 Baar,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,,1.0,,,2.0,1.0,,,,,,,1.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,1.0,,2.0,2.0,,,2.0,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,2.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,2.0,2.0,2.0,,,,,2.0,2.0,1.0,,,2.0,1.0,,,2.0,1.0,,,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,"['Endokrinologie', 'Nephrologie', 'Rheumatologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO2', 'NEU1', 'NEU3', 'END1', 'GAE1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.5', 'HAE2', 'HAE3', 'GEF1', 'ANG1', 'KAR1', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.4', 'URO1.1.7', 'URO1.1.8', 'PNE1', 'PNE1.1', 'BEW1', 'BEW2', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'RHE1', 'RHE2', 'GYN1', 'GYNT', 'GYN2', 'GEB1', 'NEO1', 'ONK1']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Thoraxchirurgie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)', 'DER1.1', 'DER1.2', 'HNO1.3', 'KIE1', 'NCH2', 'NCH3', 'NEU2', 'NEU2.1', 'GAE1.1', 'HAE1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'KAR1.3', 'URO1.1.2', 'URO1.1.3', 'THO1', 'THO1.1', 'THO1.2', 'BEW3', 'BEW8.1', 'BEW9', 'PLC1', 'GEB1.1', 'NEO1.1', 'RAO1', 'UNF1', 'UNF1.1', 'KINB']"
317,Andreas Klinik,ZG,ZG,Rigistrasse 1,6330 Cham,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,1.0,,,,,,,1.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,1.0,,2.0,2.0,,,2.0,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,2.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,2.0,2.0,2.0,,,,,1.0,2.0,1.0,,,2.0,1.0,,,2.0,1.0,,,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,"['Endokrinologie', 'Nephrologie', 'Rheumatologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'NEU1', 'NEU3', 'END1', 'GAE1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.5', 'HAE2', 'HAE3', 'GEF1', 'ANG1', 'KAR1', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.4', 'URO1.1.7', 'URO1.1.8', 'PNE1', 'PNE1.1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'RHE1', 'RHE2', 'GYN1', 'GYN2', 'GEB1', 'NEO1', 'ONK1']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Thoraxchirurgie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)', 'DER1.1', 'DER1.2', 'KIE1', 'NCH2', 'NCH3', 'NEU2', 'NEU2.1', 'GAE1.1', 'HAE1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'KAR1.3', 'URO1.1.2', 'URO1.1.3', 'THO1', 'THO1.1', 'THO1.2', 'BEW8.1', 'BEW9', 'GYNT', 'PLC1', 'GEB1.1', 'NEO1.1', 'RAO1', 'UNF1', 'UNF1.1', 'KINB']"
318,Luzerner Kantonsspital,LU,ZG,Spitalstrasse,6004 Luzern,,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,,1.0,,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,2.0,2.0,2.0,,2.0,,,2.0,,,,,,,,,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,,"['Ophthalmologie', 'Thoraxchirurgie', 'HNO1.1.1', 'HNO1.2.1', 'HNO1.3', 'HNO1.3.1', 'HNO1.3.2', 'KIE1', 'NCH1.1.1', 'NEU3.1', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5', 'GAE1.1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.4', 'VIS1.4.1', 'GEFA', 'GEF3', 'ANG3', 'URO1.1.2', 'URO1.1.3', 'THO1', 'THO1.1', 'THO1.2', 'BEW11', 'GEB1.1', 'GEB1.1.1', 'NEO1', 'NEO1.1', 'NEO1.1.1', 'NEO1.1.1.1', 'RAO1', 'NUK1', 'UNF1', 'UNF1.1', 'KINM', 'KINC', 'KINB']","['Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Gefässe', 'Urologie', 'Bewegungsapparat chirurgisch', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)', 'URO1.1']"
319,Kantonsspital Aarau AG,AG,ZG,Tellstrasse 25,5000 Aarau,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,"['Neurochirurgie', 'NCH1', 'NCH1.1', 'NCH1.1.1', 'NCH1.1.1.1', 'NCH1.1.2', 'NCH1.1.3', 'NCH2', 'NCH2.1', 'NCH3', 'NEU2', 'NEU2.1', 'NEU3.1', 'NEU4.2', 'VIS1.1', 'VIS1.2', 'UNF1.1']","['Neurologie', 'Viszeralchirurgie', 'Unfallchirurgie']"
320,Universitätsspital Zürich,ZH,ZG,Rämistrasse 100,8091 Zürich,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,,2.0,2.0,2.0,,,,,,1.0,,,2.0,,,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,1.0,,,,1.0,2.0,2.0,2.0,,,,2.0,2.0,,,2.0,,,,,,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,"['Unfallchirurgie', 'DER1', 'DER1.1', 'DER1.2', 'HNO1.3.2', 'NEU3.1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'HAE1', 'HAE1.1', 'HAE4', 'RAD1', 'PNE1.2', 'PNE1.3', 'PNE2', 'TPL1', 'TPL2', 'TPL4', 'TPL5', 'TPL6', 'TPL7', 'RHE2', 'UNF1', 'UNF1.1', 'UNF2', 'ISO']","['Dermatologie', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Ophthalmologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Thoraxchirurgie', 'Transplantationen', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Geburtshilfe', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)', 'HNO1.2.1', 'NCH1', 'NCH1.1.1', 'NCH1.1.1.1', 'NCH2', 'NCH3', 'NEU2.1', 'AUG1.5', 'VIS1', 'ANG3', 'HER1', 'HER1.1', 'HER1.1.1', 'HER1.1.2', 'HER1.1.3', 'HER1.1.4', 'HER1.1.5', 'KAR1', 'KAR1.1', 'KAR1.1.1', 'KAR1.2', 'KAR1.3', 'URO1.1', 'URO1.1.2', 'URO1.1.7', 'PNE1.1', 'THO1', 'THO1.1', 'THO1.2', 'BEW8.1', 'PLC1', 'GEB1.1', 'GEB1.1.1', 'ONK1', 'NUK1']"
321,Stadtspital Triemli,ZH,ZG,Birmensdorferstrasse 497,8063 Zürich,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['VIS1.1', 'VIS1.2', 'VIS1.3', 'HER1', 'HER1.1', 'HER1.1.1', 'HER1.1.3', 'HER1.1.4', 'HER1.1.5', 'KAR1', 'KAR1.1', 'KAR1.1.1', 'KAR1.2', 'KAR1.3']","['Viszeralchirurgie', 'Herz']"
322,Schweizerisches Epilepsie­Zentrum,ZH,ZG,Bleulerstrasse 60,8008 Zürich,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,"['NEU4', 'NEU4.1', 'KINM', 'KINC']","['Neurologie', 'Übrige (Querschnittsbereiche)']"
323,Spital Affoltern AG,ZH,ZG,Sonnenbergstrasse 27,8910 Affoltern am Albis,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,['PAL'],['Übrige (Querschnittsbereiche)']
324,Les Hôpitaux Universitaires de Genève HUG,GE,ZG,Rue Gabrielle­Perret­Gentil 4,1205 Genève,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,"['HNO1.3.2', 'NEU3.1', 'VIS1.1', 'VIS1.2', 'TPL4', 'TPL5', 'TPL6', 'UNF1.1', 'ISO']","['Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Transplantationen', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)']"
325,Kinderspital Luzern,LU,ZG,Spitalstrasse,6004 Luzern,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,,"['Dermatologie', 'Neurochirurgie', 'Ophthalmologie', 'Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'Pneumologie', 'Thoraxchirurgie', 'Rheumatologie', '(Radio-) Onkologie', 'DER1', 'DER1.1', 'DER1.2', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.1.1', 'HNO1.2', 'HNO1.2.1', 'HNO1.3', 'HNO2', 'KIE1', 'NCH1', 'NCH1.1', 'NCH1.1.1', 'NCH1.1.1.1', 'NCH1.1.2', 'NCH1.1.3', 'NCH2', 'NCH2.1', 'NCH3', 'NEU1', 'NEU2', 'NEU2.1', 'NEU3', 'NEU4', 'NEU4.1', 'NEU4.2', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.5', 'HAE1', 'HAE1.1', 'HAE2', 'HAE3', 'HAE4', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'HER1', 'HER1.1', 'HER1.1.1', 'HER1.1.2', 'HER1.1.3', 'HER1.1.4', 'HER1.1.5', 'KAR1', 'KAR1.1', 'KAR1.1.1', 'KAR1.2', 'KAR1.3', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.4', 'URO1.1.7', 'URO1.1.8', 'PNE1', 'PNE1.1', 'PNE1.2', 'PNE1.3', 'PNE2', 'THO1', 'THO1.1', 'THO1.2', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW9', 'BEW11', 'RHE1', 'RHE2', 'GYN1', 'GYNT', 'GYN2', 'NEO1', 'NEO1.1', 'NEO1.1.1', 'NEO1.1.1.1', 'ONK1', 'RAO1', 'NUK1', 'UNF1', 'UNF1.1', 'KINM', 'KINC', 'KINB']","['Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Neugeborene', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)']"
326,Kinderspital Zürich,ZH,ZG,Steinwiesstrasse 75,8032 Zürich,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,2.0,"['Dermatologie', 'Neurochirurgie', 'Ophthalmologie', 'Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'Pneumologie', 'Thoraxchirurgie', 'Rheumatologie', '(Radio-) Onkologie', 'DER1', 'DER1.1', 'DER1.2', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.1.1', 'HNO1.2', 'HNO1.2.1', 'HNO1.3', 'HNO2', 'KIE1', 'NCH1', 'NCH1.1', 'NCH1.1.1', 'NCH1.1.1.1', 'NCH1.1.2', 'NCH1.1.3', 'NCH2', 'NCH2.1', 'NCH3', 'NEU1', 'NEU2', 'NEU2.1', 'NEU3', 'NEU4', 'NEU4.1', 'NEU4.2', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.5', 'HAE1', 'HAE1.1', 'HAE2', 'HAE3', 'HAE4', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'HER1', 'HER1.1', 'HER1.1.1', 'HER1.1.2', 'HER1.1.3', 'HER1.1.4', 'HER1.1.5', 'KAR1', 'KAR1.1', 'KAR1.1.1', 'KAR1.2', 'KAR1.3', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.4', 'URO1.1.7', 'URO1.1.8', 'PNE1', 'PNE1.1', 'PNE1.2', 'PNE1.3', 'PNE2', 'THO1', 'THO1.1', 'THO1.2', 'TPL6', 'TPL7', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW9', 'BEW11', 'RHE1', 'RHE2', 'GYN1', 'GYNT', 'GYN2', 'NEO1', 'NEO1.1', 'NEO1.1.1', 'NEO1.1.1.1', 'ONK1', 'RAO1', 'NUK1', 'UNF1', 'UNF1.1', 'KINM', 'KINC', 'KINB', 'PAL']","['Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Transplantationen', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Neugeborene', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)']"
